Delta ID,Latitude,Longitude,Tidal range (m),Permafrost classification with ice content,Distance to nearest community (m),Canadian geographic name,Language spoken,Name of region in original language,Community type,Province
NWA1_G179,76.13211,-116.547042,0.42,Continuous permafrost with medium to low ground ice content (10% to <10%),532918.0952,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G180,76.149405,-116.496181,0.42,Continuous permafrost with medium to low ground ice content (10% to <10%),535279.637,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G181,76.182272,-116.316878,0.42,Continuous permafrost with medium to low ground ice content (10% to <10%),541013.8944,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G182,76.198254,-116.059492,0.37,Continuous permafrost with medium to low ground ice content (10% to <10%),546411.8,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G183,76.195891,-115.83353,0.37,Continuous permafrost with medium ground ice content (10% to 20%),549715.4851,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G184,76.192006,-115.635929,0.37,Continuous permafrost with medium ground ice content (10% to 20%),552495.6594,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G185,76.19131,-115.611953,0.37,Continuous permafrost with medium ground ice content (10% to 20%),552816.4903,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G186,76.189816,-115.457712,0.37,Continuous permafrost with medium ground ice content (10% to 20%),555164.3502,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G187,76.224812,-115.130112,0.37,Continuous permafrost with medium ground ice content (10% to 20%),563593.2636,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G188,76.234421,-115.271597,0.37,Continuous permafrost with medium ground ice content (10% to 20%),562130.089,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G189,76.29881,-115.894629,0.35,Continuous permafrost with medium ground ice content (10% to 20%),558101.459,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G190,76.326964,-115.808282,0.36,Continuous permafrost with medium ground ice content (10% to 20%),561984.9051,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G191,76.356555,-115.862783,0.35,Continuous permafrost with medium ground ice content (10% to 20%),563858.6588,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G193,76.459584,-115.478421,0.35,Continuous permafrost with medium ground ice content (10% to 20%),579072.2221,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
